name,Type,Time,Price
MDLZ,BID,04/04/2016 09:25:00.019,40.87
AMGN,BID,04/04/2016 09:25:00.020,153.77
BAC,TRADE,04/04/2016 09:25:00.269,13.58
BXLT,ASK,04/04/2016 09:25:00.270,41.19
GE,ASK,04/04/2016 09:25:00.271,31.68
CRM,BID,04/04/2016 09:25:00.272,74.67
CMI,BID,04/04/2016 09:25:00.272,109.71
UTX,BID,04/04/2016 09:25:00.272,100
MS,BID,04/04/2016 09:25:00.272,25.47
WHR,BID,04/04/2016 09:25:00.273,182.52
DIS,BID,04/04/2016 09:25:00.273,99
WYNN,ASK,04/04/2016 09:25:00.273,95.5
WFC,ASK,04/04/2016 09:25:00.273,48.47
GOOGL,BID,04/04/2016 09:25:00.273,752.56
GOOG,BID,04/04/2016 09:25:00.273,745
GT,ASK,04/04/2016 09:25:00.274,32.9
GPC,ASK,04/04/2016 09:25:00.274,101.74
RF,BID,04/04/2016 09:25:00.274,7.82
MAR,BID,04/04/2016 09:25:00.520,66.96
MDT,ASK,04/04/2016 09:25:00.521,76.25
MCO,ASK,04/04/2016 09:25:00.521,99.55
MON,ASK,04/04/2016 09:25:00.521,88.62
MCD,ASK,04/04/2016 09:25:00.522,127.4
MSFT,ASK,04/04/2016 09:25:00.522,55.56
PCLN,BID,04/04/2016 09:25:00.522,1275
NOC,BID,04/04/2016 09:25:00.523,199.36
NFLX,ASK,04/04/2016 09:25:00.523,106
ABBV,BID,04/04/2016 09:25:00.523,57.31
AMGN,BID,04/04/2016 09:25:00.524,154.3
APD,ASK,04/04/2016 09:25:00.524,144.75
FB,TRADE,04/04/2016 09:25:00.771,114.3
JNJ,BID,04/04/2016 09:25:00.771,108.69
ILMN,BID,04/04/2016 09:25:00.772,160.19
IBM,BID,04/04/2016 09:25:00.772,151.72
GE,BID,04/04/2016 09:25:00.772,31.6
GE,ASK,04/04/2016 09:25:00.773,31.7
CRM,ASK,04/04/2016 09:25:00.773,77
BXLT,ASK,04/04/2016 09:25:00.773,42
STZ,BID,04/04/2016 09:25:00.774,152.39
RIG,BID,04/04/2016 09:25:00.774,8.51
NVDA,ASK,04/04/2016 09:25:00.774,36.46
TWX,ASK,04/04/2016 09:25:00.774,74.25
V,ASK,04/04/2016 09:25:00.775,77.87
MS,BID,04/04/2016 09:25:00.775,25.46
WFC,ASK,04/04/2016 09:25:00.775,48.51
MCO,ASK,04/04/2016 09:25:01.022,99.81
MON,ASK,04/04/2016 09:25:01.022,88.7
MPC,ASK,04/04/2016 09:25:01.024,36.49
BMY,BID,04/04/2016 09:25:01.024,64.76
BA,BID,04/04/2016 09:25:01.025,126.54
DOW,BID,04/04/2016 09:25:01.025,50.53
DAL,BID,04/04/2016 09:25:01.025,47
D,BID,04/04/2016 09:25:01.025,74.95
ESRX,BID,04/04/2016 09:25:01.025,68.92
DUK,ASK,04/04/2016 09:25:01.026,81.5
EOG,ASK,04/04/2016 09:25:01.026,73.5
PCLN,ASK,04/04/2016 09:25:01.026,1309.5
JNJ,ASK,04/04/2016 09:25:01.271,109.81
STZ,BID,04/04/2016 09:25:01.272,152.19
EL,ASK,04/04/2016 09:25:01.522,103.84
BA,BID,04/04/2016 09:25:01.522,126.23
BMY,BID,04/04/2016 09:25:01.522,64.61
D,ASK,04/04/2016 09:25:01.522,75.5
ILMN,BID,04/04/2016 09:25:01.523,159.38
IBM,BID,04/04/2016 09:25:01.523,151.62
RRC,ASK,04/04/2016 09:25:01.772,38.05
PXD,ASK,04/04/2016 09:25:01.772,142.98
MCO,ASK,04/04/2016 09:25:02.342,100.07
BA,BID,04/04/2016 09:25:02.343,126.2
BMY,BID,04/04/2016 09:25:02.343,64.53
AVB,ASK,04/04/2016 09:25:02.343,-1
BXP,ASK,04/04/2016 09:25:02.523,129.89
COG,ASK,04/04/2016 09:25:02.523,23.15
ILMN,BID,04/04/2016 09:25:02.523,156.29
EL,BID,04/04/2016 09:25:02.523,94.94
MCO,ASK,04/04/2016 09:25:02.773,105
UDR,ASK,04/04/2016 09:25:02.774,39.26
SWKS,BID,04/04/2016 09:25:02.774,77.03
CI,ASK,04/04/2016 09:25:02.774,142.63
AVB,ASK,04/04/2016 09:25:02.774,191.19
RHI,BID,04/04/2016 09:25:03.023,46.59
FRT,ASK,04/04/2016 09:25:03.024,169.84
BXP,ASK,04/04/2016 09:25:03.024,128.09
XEC,ASK,04/04/2016 09:25:03.024,102.07
WYN,ASK,04/04/2016 09:25:03.274,76.93
EL,BID,04/04/2016 09:25:03.274,95.21
MCO,ASK,04/04/2016 09:25:03.275,100.33
UDR,ASK,04/04/2016 09:25:03.275,39.52
SWKS,BID,04/04/2016 09:25:03.275,76.8
CI,ASK,04/04/2016 09:25:03.275,143.28
ANTM,BID,04/04/2016 09:25:03.524,140.48
FB,ASK,04/04/2016 09:25:03.524,114.44
RHI,BID,04/04/2016 09:25:03.524,46.92
FRT,ASK,04/04/2016 09:25:03.525,177.34
VNO,ASK,04/04/2016 09:25:03.775,97.05
WAT,BID,04/04/2016 09:25:03.775,131.83
WYN,ASK,04/04/2016 09:25:03.775,75.73
CXO,BID,04/04/2016 09:25:03.775,99.95
AIV,ASK,04/04/2016 09:25:03.776,43.29
MCO,ASK,04/04/2016 09:25:03.776,105
UDR,ASK,04/04/2016 09:25:03.776,38.62
EQT,BID,04/04/2016 09:25:03.776,65.82
ROP,BID,04/04/2016 09:25:03.776,182.9
CI,ASK,04/04/2016 09:25:03.777,139.24
BWA,ASK,04/04/2016 09:25:03.777,38.62
HAR,ASK,04/04/2016 09:25:03.777,88.52
PLD,ASK,04/04/2016 09:25:03.777,45.83
SYMC,ASK,04/04/2016 09:25:04.025,18.77
AMT,BID,04/04/2016 09:25:04.025,103.42
IRM,BID,04/04/2016 09:25:04.026,32.39
TDC,BID,04/04/2016 09:25:04.026,25.16
MNST,ASK,04/04/2016 09:25:04.026,134.9
COL,ASK,04/04/2016 09:25:04.026,93.29
ROK,ASK,04/04/2016 09:25:04.026,116
SWKS,BID,04/04/2016 09:25:04.027,76.57
FRT,ASK,04/04/2016 09:25:04.027,158.3
ANTM,BID,04/04/2016 09:25:04.027,141.22
FIS,BID,04/04/2016 09:25:04.027,64.37
JNPR,BID,04/04/2016 09:25:04.027,25.33
VNO,ASK,04/04/2016 09:25:04.276,97.84
WAT,BID,04/04/2016 09:25:04.276,131.54
AIV,ASK,04/04/2016 09:25:04.276,45.76
CXO,BID,04/04/2016 09:25:04.277,100.23
MCO,ASK,04/04/2016 09:25:04.277,100.59
EQT,ASK,04/04/2016 09:25:04.277,70.47
CMI,ASK,04/04/2016 09:25:04.278,111.15
ROP,BID,04/04/2016 09:25:04.278,182.51
CPB,BID,04/04/2016 09:25:04.278,64.45
BWA,ASK,04/04/2016 09:25:04.525,37.99
SYMC,ASK,04/04/2016 09:25:04.526,18.8
AMT,BID,04/04/2016 09:25:04.526,103.17
HAR,ASK,04/04/2016 09:25:04.526,87.3
TDC,BID,04/04/2016 09:25:04.527,25.07
IRM,BID,04/04/2016 09:25:04.527,32.58
PLD,ASK,04/04/2016 09:25:04.527,44.8
DE,ASK,04/04/2016 09:25:04.528,76.92
ROK,ASK,04/04/2016 09:25:04.528,114.33
UNM,ASK,04/04/2016 09:25:04.528,32.32
NBL,ASK,04/04/2016 09:25:04.529,32.9
MJN,BID,04/04/2016 09:25:04.529,79.49
FIS,BID,04/04/2016 09:25:04.529,64.22
M,ASK,04/04/2016 09:25:04.530,43.65
JNPR,BID,04/04/2016 09:25:04.530,25.42
VNO,ASK,04/04/2016 09:25:04.775,95.34
HRB,ASK,04/04/2016 09:25:04.776,26.85
WAT,BID,04/04/2016 09:25:04.776,132.26
AIV,ASK,04/04/2016 09:25:04.776,42.25
AZO,ASK,04/04/2016 09:25:04.777,-1
MDLZ,BID,04/04/2016 09:25:04.777,40.78
PNC,BID,04/04/2016 09:25:04.777,84.43
MCO,ASK,04/04/2016 09:25:04.778,105
RAI,ASK,04/04/2016 09:25:04.778,51.24
EQT,BID,04/04/2016 09:25:04.778,65.95
ROP,BID,04/04/2016 09:25:04.779,183.42
CMI,ASK,04/04/2016 09:25:04.779,110.9
AMT,BID,04/04/2016 09:25:05.026,103.48
TDC,BID,04/04/2016 09:25:05.026,25.3
