Conid,Symbol,NAME,BOG_TH,SOG_TH,Exchange,alpha,beta,R11,R12,R22
43661924,QQQ,POWERSHARES QQQ TRUST SERIES,0.013630573,-0.016806452,NASDAQ,-0.004799391,1.020211616,0.001621273,0.00062003,0.187268891
15547841,TLT,ISHARES 20+ YEAR TREASURY BO,0.008431172,-0.008932945,NASDAQ,-0.000679573,-0.381851138,0.001621273,0.00062003,0.187268891
265598,AAPL,APPLE INC,0.022588256,-0.027118185,NASDAQ,0.001520164,0.921802551,0.001621273,0.00062003,0.187268891
107113386,FB,FACEBOOK INC-A,0.02469248,-0.027477181,NASDAQ,-0.003598961,0.959165321,0.001621273,0.000620008,0.187262242
8719,JNJ,JOHNSON & JOHNSON,0.011,-0.012595217,NYSE,0.000897545,0.599441822,0.001621273,0.00062003,0.187268891
1520593,JPM,JPMORGAN CHASE & CO,0.033182047,-0.031515143,NYSE,-0.005774721,1.25756806,0.001621273,0.00062003,0.187268891
13977,XOM,EXXON MOBIL CORP,0.016944397,-0.01692178,NYSE,0.000608957,0.91505956,0.001621273,0.00062003,0.187268891
6459,DIS,WALT DISNEY CO/THE,0.019795823,-0.018838167,NYSE,-0.002918364,0.751636887,0.001621273,0.00062003,0.187268891
11017,PEP,PEPSICO INC,0.0131045,-0.013657464,NYSE,0.004059212,0.536780123,0.001621273,0.00062003,0.187268891
11054,PG,PROCTER & GAMBLE CO/THE,0.013,-0.014548318,NYSE,-0.000572765,0.60189729,0.001621273,0.00062003,0.187268891
5684,CVX,CHEVRON CORP,0.018187103,-0.01899508,NYSE,0.005412568,1.099596773,0.001621273,0.00062003,0.187268891
70363037,VCSH,VANGUARD S/T CORP BOND ETF,0.001,-0.002165881,NASDAQ,-0.000156037,-0.000902937,0.001621273,0.00062003,0.18726889
49462172,V,VISA INC-CLASS A SHARES,0.027607962,-0.025654206,NYSE,-0.009056047,1.055347101,0.001621273,0.00062003,0.187268891
17321976,ENH,ENDURANCE SPECIALTY HOLDINGS,0.021952118,-0.022074074,NYSE,0.000147034,0.501100843,0.001621273,0.00062003,0.187268891
49588376,PM,PHILIP MORRIS INTERNATIONAL,0.018476091,-0.019399169,NYSE,0.005964118,0.711864657,0.001621273,0.00062003,0.187268891
267748,CMCSA,COMCAST CORP-CLASS A,0.022961051,-0.023653951,NASDAQ,-0.001134335,0.750086172,0.001621273,0.00062003,0.187268891
8794522,NVS,NOVARTIS AG-SPONSORED ADR,0.010364902,-0.012021529,NYSE,0.006252583,0.789350335,0.001621273,0.00062003,0.187268891
7930,HD,HOME DEPOT INC,0.022963855,-0.020953452,NYSE,-0.004276131,0.791022132,0.001621273,0.00062003,0.187268891
13824,WMT,WAL-MART STORES INC,0.014297933,-0.014135024,NYSE,-0.00270848,0.577473974,0.001621273,0.00062003,0.187268891
272093,MSFT,MICROSOFT CORP,0.01829932,-0.018519223,NASDAQ,-0.004389637,1.089144246,0.001621273,0.00062003,0.187268891
9769,MO,ALTRIA GROUP INC,0.014096887,-0.015610218,NYSE,0.006996759,0.503015089,0.001621273,0.00062003,0.187268891
77791077,NXPI,NXP SEMICONDUCTORS NV,0.037776765,-0.033229784,NASDAQ,-0.005810274,1.269261219,0.001621273,0.00062003,0.187268884
4721,AXP,AMERICAN EXPRESS CO,0.032264368,-0.030972432,NYSE,0.002444226,0.81581673,0.001621273,0.00062003,0.187268891
269753,GILD,GILEAD SCIENCES INC,0.021,-0.023472821,NASDAQ,-0.01172221,0.951121288,0.001621273,0.00062003,0.187268891
181387075,MDT,MEDTRONIC PLC,0.016867804,-0.017314149,NYSE,-0.000536976,0.830827444,0.001621273,0.00062003,0.187268891
166090175,BABA,ALIBABA GROUP HOLDING-SP ADR,0.023890774,-0.024429825,NYSE,-0.009719517,1.027857469,0.001621209,0.00060064,0.181419957
273544,QCOM,QUALCOMM INC,0.021337237,-0.022659932,NASDAQ,-0.015770101,0.999013441,0.001621273,0.00062003,0.187268891
49954154,ACWI,ISHARES MSCI ACWI ETF,0.014571833,-0.020530181,NASDAQ,-0.002953684,0.98325926,0.001621273,0.00062003,0.187268891
2585769,CVS,CVS HEALTH CORP,0.019633117,-0.020766454,NYSE,0.006036237,0.668697704,0.001621273,0.00062003,0.187268891
2008980,RY,ROYAL BANK OF CANADA,0.018000941,-0.021751252,NYSE,-0.000550877,0.828331885,0.001621273,0.00062003,0.187268891
5437,CAT,CATERPILLAR INC,0.021989829,-0.02523638,NYSE,-0.014080667,1.104770966,0.001621273,0.00062003,0.187268891
70101545,MRK,MERCK & CO. INC.,0.018957219,-0.020646018,NYSE,0.001899663,0.953686975,0.001621273,0.00062003,0.187268891
6607659,CM,CAN IMPERIAL BK OF COMMERCE,0.020023904,-0.024548333,NYSE,-0.006487598,0.852183076,0.001621273,0.00062003,0.187268891
5749,CL,COLGATE-PALMOLIVE CO,0.01347717,-0.013841312,NYSE,-0.000850283,0.694688134,0.001621273,0.00062003,0.187268891
6442,DHR,DANAHER CORP,0.017518115,-0.017094517,NYSE,-0.001857065,0.762332985,0.001621273,0.00062003,0.187268891
9408,MCD,MCDONALD'S CORP,0.015029493,-0.014924007,NYSE,0.003236971,0.600905973,0.001621273,0.00062003,0.187268891
12200,SLB,SCHLUMBERGER LTD,0.02433981,-0.027101406,NYSE,1.91418E-05,1.09808962,0.001621273,0.00062003,0.187268891
9199,LOW,LOWE'S COS INC,0.025982439,-0.021878547,NYSE,-0.007871985,0.749194675,0.001621273,0.00062003,0.187268891
61319701,AIG,AMERICAN INTERNATIONAL GROUP,0.080092503,-0.076959409,NYSE,0.000150683,1.147744625,0.001621273,0.00062003,0.187268891
274105,SBUX,STARBUCKS CORP,0.025847584,-0.02227414,NASDAQ,-0.006304829,0.845660258,0.001621273,0.00062003,0.187268891
59085966,TWX,TIME WARNER INC,0.023651834,-0.020817628,NYSE,-0.002769426,0.797929776,0.001621273,0.00062003,0.187268891
110176011,DUK,DUKE ENERGY CORP,0.013,-0.015920584,NYSE,0.004062891,0.424250007,0.001621273,0.00062003,0.187268891
4901,VZ,VERIZON COMMUNICATIONS INC,0.01555971,-0.017874904,NYSE,0.004828481,0.57706977,0.001621273,0.00062003,0.187268891
38685693,MA,MASTERCARD INC - A,0.031214464,-0.029631474,NYSE,-0.004471593,1.013562709,0.001621273,0.00062003,0.187268891
7896,HAR,HARMAN INTERNATIONAL,0.037,-0.032205619,NYSE,0.001785356,1.555219206,0.001621273,0.00062003,0.187268891
118089500,ABBV,ABBVIE INC,0.020704788,-0.022960276,NYSE,0.001802215,0.947895857,0.001621273,0.000619931,0.187239032
13096,TXN,TEXAS INSTRUMENTS INC,0.022434749,-0.020746888,NASDAQ,-0.003163515,1.045782294,0.001621273,0.00062003,0.187268891
3206042,YUM,YUM! BRANDS INC,0.021,-0.019427006,NYSE,0.001583957,1.091739236,0.001621273,0.00062003,0.187268891
13379,WM,WASTE MANAGEMENT INC,0.01678215,-0.018456376,NYSE,-0.001496883,0.558248897,0.001621273,0.00062003,0.187268891
6522,DOW,DOW CHEMICAL CO/THE,0.02448285,-0.027597425,NYSE,0.001666965,0.893528066,0.001621273,0.00062003,0.187268891
10291,NKE,NIKE INC -CL B,0.020485685,-0.01964641,NYSE,-0.008083846,0.736804338,0.001621273,0.00062003,0.187268891
29624264,CRM,SALESFORCE.COM INC,0.035241057,-0.031826482,NYSE,-0.008351628,1.192671579,0.001621273,0.00062003,0.187268891
7616,GIS,GENERAL MILLS INC,0.012676576,-0.01311299,NYSE,0.004670866,0.576835265,0.001621273,0.00062003,0.187268891
6327,D,DOMINION RESOURCES INC/VA,0.014561738,-0.015839501,NYSE,0.009914948,0.458358244,0.001621273,0.00062003,0.187268891
6437,TGT,TARGET CORP,0.02480574,-0.022534247,NYSE,-0.003395305,0.50673428,0.001621273,0.00062003,0.187268891
6366,DD,DU PONT (E.I.) DE NEMOURS,0.01973541,-0.020934686,NYSE,0.001064929,0.892521855,0.001621273,0.00062003,0.187268891
5759,CLC,CLARCOR INC,0.023836735,-0.023371849,NYSE,-0.002013137,1.029889512,0.001621273,0.00062003,0.187268891
5111,BMY,BRISTOL-MYERS SQUIBB CO,0.018,-0.018768888,NYSE,0.001873335,0.728166471,0.001621273,0.00062003,0.187268891
9705,MMC,MARSH & MCLENNAN COS,0.024539936,-0.018276762,NYSE,-0.003080072,0.919632464,0.001621273,0.00062003,0.187268891
199169586,KHC,KRAFT HEINZ CO/THE,0.015463428,-0.017569681,NASDAQ,0.009431303,0.891411812,0.001620384,0.000351812,0.106363225
4211,AEP,AMERICAN ELECTRIC POWER,0.015204131,-0.018051508,NYSE,0.00716947,0.48512371,0.001621273,0.00062003,0.187268891
