Conid,Ticker,NAME,BOG_TH,SOG_TH,,,
3691937,AMZN,AMAZON.COM,0.03170015,-0.026552835,,,
4065,ABT,ABBOTT LABORATORIES,0.015636493,-0.016939237,,,
2560358,AES,AES,0.03,-0.033262368,,,
8314,IBM,INTERNATIONAL BUS.MCHS.,0.016351084,-0.016146148,,,
265768,ADBE,ADOBE SYSTEMS,0.024134021,-0.024234932,,,
4553,ARG,AIRGAS,0.026293286,-0.027282051,,,
4487,APD,AIR PRDS.& CHEMS.,0.020911471,-0.020906842,,,
6366,DD,E I DU PONT DE NEMOURS,0.020845517,-0.0221635,,,
5021340,BXP,BOSTON PROPERTIES,0.035577002,-0.035243902,,,
4357,ALL,ALLSTATE,0.030399548,-0.028700609,,,
4350,HON,HONEYWELL INTL.,0.019170455,-0.021814733,,,
4005,AA,ALCOA,0.029692949,-0.037082251,,,
266145,AMGN,AMGEN,0.018973568,-0.020518933,,,
39118796,HES,HESS,0.031438356,-0.033750973,,,
4721,AXP,AMERICAN EXPRESS,0.03484545,-0.033119558,,,
4211,AEP,AMER.ELEC.PWR.,0.016,-0.018703297,,,
4227,AFL,AFLAC,0.034683089,-0.037923077,,,
61319701,AIG,AMERICAN INTL.GP.,0.088617205,-0.082610798,,,
4157,ADI,ANALOG DEVICES,0.023444444,-0.022090473,,,
4482,APC,ANADARKO PETROLEUM,0.03,-0.032013845,,,
4726176,ALXN,ALEXION PHARMS.,0.029,-0.028185759,,,
13497,VLO,VALERO ENERGY,0.02827932,-0.034330034,,,
4472,APA,APACHE,0.027449241,-0.02938237,,,
267748,CMCSA,COMCAST 'A',0.024460765,-0.025485746,,,
265598,AAPL,APPLE,0.022240513,-0.027491232,,,
266093,AMAT,APPLIED MATS.,0.025202015,-0.026111311,,,
4165,ADM,ARCHER-DANLS.-MIDL.,0.024545106,-0.025158295,,,
11257,PNW,PINNACLE WEST CAP.,0.015288244,-0.017373362,,,
13181,AEE,AMEREN,0.015385542,-0.01795175,,,
4316,AIV,APARTMENT INV.& MAN.'A',0.048072272,-0.045432299,,,
4631,GAS,AGL RESOURCES,0.014642379,-0.017421851,,,
265681,ADSK,AUTODESK,0.028,-0.028552036,,,
4661,ADP,AUTOMATIC DATA PROC.,0.015650622,-0.017435689,,,
4750,AZO,AUTOZONE,0.021,-0.018750916,,,
4694,AVY,AVERY DENNISON,0.02217756,-0.021691358,,,
4981,BHI,BAKER HUGHES,0.028481973,-0.030747767,,,
5052,BLL,BALL,0.020040716,-0.020113091,,,
4851,BCR,C R BARD,0.01673788,-0.015530074,,,
8111188,BAX,BAXTER INTL.,0.016965527,-0.01736579,,,
266630,BBBY,BED BATH & BEYOND,0.026056719,-0.023493943,,,
4886,BDX,BECTON DICKINSON,0.014488501,-0.015872483,,,
4392,AME,AMETEK,0.021384224,-0.021588792,,,
4901,VZ,VERIZON COMMUNICATIONS,0.016514279,-0.01892691,,,
4817,BBY,BEST BUY,0.031548387,-0.028578771,,,
6608473,SLG,SL GREEN REALTY,0.065241935,-0.051682505,,,
3206042,YUM,YUM! BRANDS,0.022175793,-0.020387097,,,
3265376,FE,FIRSTENERGY,0.018227101,-0.020311013,,,
8130,HRB,H&R BLOCK,0.031216216,-0.026411527,,,
4762,BA,BOEING,0.0200913,-0.022453324,,,
11634,RHI,ROBERT HALF INTL.,0.027076131,-0.025166667,,,
5336,BWA,BORGWARNER,0.035669371,-0.032021201,,,
5270,BSX,BOSTON SCIENTIFIC,0.027594595,-0.027517672,,,
36320731,CHRW,CH ROBINSON WWD.,0.023476926,-0.021990196,,,
5111,BMY,BRISTOL MYERS SQUIBB,0.019,-0.019554163,,,
6607470,AMG,AFFILIATED MANAGERS,0.035917044,-0.036059923,,,
10794,OKE,ONEOK,0.024166387,-0.031204529,,,
5026974,AVB,AVALONBAY COMMNS.,0.036019943,-0.032467307,,,
3629755,URI,UNITED RENTALS,0.042191781,-0.046857143,,,
11020,SRE,SEMPRA EN.,0.017229099,-0.018300088,,,
5100583,FDX,FEDEX,0.022605003,-0.022813272,,,
4173050,VRSN,VERISIGN,0.030883536,-0.024449973,,,
4493,APH,AMPHENOL 'A',0.024107173,-0.023945317,,,
661417,S115637,BROWN-FORMAN 'B',0.018423212,-0.018647112,,,
6608432,PWR,QUANTA SERVICES,0.032517375,-0.035488075,,,
6150,CSX,CSX,0.026840308,-0.028361702,,,
754274,CVC,CABLEVISION SYS.,0.032492645,-0.032051592,,,
5946,COG,CABOT OIL & GAS 'A',0.03557751,-0.035986779,,,
5980,CPB,CAMPBELL SOUP,0.015117647,-0.014271445,,,
276066,STZ,CONSTELLATION BRANDS 'A',0.02349619,-0.023559175,,,
5407,CAH,CARDINAL HEALTH,0.018352923,-0.020530146,,,
5437,CAT,CATERPILLAR,0.023243366,-0.026969789,,,
267455,CELG,CELGENE,0.024,-0.027269461,,,
1767080,CTXS,CITRIX SYS.,0.02631848,-0.026819093,,,
661417,CHK,CHESAPEAKE ENERGY,0.042986767,-0.048314844,,,
6180,CTL,CENTURYLINK,0.018,-0.024821844,,,
267475,CERN,CERNER,0.02501833,-0.022795948,,,
1520593,JPM,JP MORGAN CHASE & CO.,0.036,-0.033670822,,,
5651,CHD,CHURCH & DWIGHT CO.,0.0146547,-0.015781937,,,
5702,CI,CIGNA,0.036903418,-0.034513705,,,
267661,CINF,CINCINNATI FINL.,0.027,-0.027604306,,,
268149,CTAS,CINTAS,0.021168582,-0.018253858,,,
51575076,FTR,FRONTIER COMMUNICATIONS,0.024,-0.031499331,,,
268084,CSCO,CISCO SYSTEMS,0.020932597,-0.020215623,,,
5794,CLX,CLOROX,0.014963253,-0.014482759,,,
8894,KO,COCA COLA,0.013530499,-0.014320143,,,
5749,CL,COLGATE-PALM.,0.014,-0.014340344,,,
