Conid,Ticker,NAME,BOG_TH,SOG_TH,xx,Conid from IB excel,Check
4931,BF B,BROWN-FORMAN 'B',0.018423212,-0.018647112,,4931,0
661417,CHK,CHESAPEAKE ENERGY,0.042986767,-0.048314844,,661417,0
9690,MLM,MARTIN MRTA.MATS.,0.032367988,-0.027984944,,9690,0
9365,MAT,MATTEL,0.024,-0.021985149,,9365,0
8093509,MET,METLIFE,0.042208686,-0.040769634,,8093509,0
52424577,ATVI,ACTIVISION BLIZZARD,0.026126176,-0.028602094,,52424577,0
2585769,CVS,CVS HEALTH,0.020058552,-0.021974003,,2585769,0
661507,LH,LABORATORY CORP.OF AM. HDG.,0.016,-0.017532374,,661507,0
272093,MSFT,MICROSOFT,0.019166488,-0.019681514,,272093,0
9939,MU,MICRON TECHNOLOGY,0.043839112,-0.043660517,,9939,0
271568,MCHP,MICROCHIP TECH.,0.021121495,-0.021553236,,271568,0
9720,MMM,3M,0.015643704,-0.017482173,,9720,0
271967,MHK,MOHAWK INDUSTRIES,0.033146644,-0.028805785,,271967,0
8949,KSU,KANSAS CITY SOUTHERN,0.031815883,-0.033425687,,8949,0
9952,MUR,MURPHY OIL,0.02900907,-0.031380552,,9952,0
9869443,ILMN,ILLUMINA,0.033978475,-0.03083206,,9869443,0
10517,XEL,XCEL ENERGY,0.014138501,-0.015734535,,10517,0
9599491,F,FORD MOTOR,0.034773006,-0.0535,,9599491,0
2585583,NOV,NATIONAL OILWELL VARCO,0.034161228,-0.038160421,,2585583,0
49921110,NTAP,NETAPP,0.029,-0.026908676,,49921110,0
10209,NFX,NEWFIELD EXPLORATION,0.035756216,-0.037059603,,10209,0
10627,NWL,NEWELL RUBBERMAID,0.026902439,-0.027768227,,10627,0
1715032,DNB,DUN & BRADSTREET DEL.,0.01811365,-0.019742544,,1715032,0
10174,NEM,NEWMONT MINING,0.028871087,-0.028768247,,10174,0
10291,NKE,NIKE 'B',0.021926829,-0.020548221,,10291,0
10109,NBL,NOBLE ENERGY,0.02800778,-0.030184546,,10109,0
