Conid,Symbol,Name,BOG_TH,SOG_TH,Prime Exchange
265598,AAPL,APPLE,0.02268641,-0.027268965,NASDAQ
43661924,QQQ,POWERSHARES QQQ TST.SR.1,0.013672652,-0.016881017,NASDAQ
107113386,FB,FACEBOOK CLASS A,0.025038862,-0.027620553,NASDAQ
3691937,AMZN,AMAZON.COM,0.029741627,-0.025134898,NASDAQ
272093,MSFT,MICROSOFT,0.018449457,-0.018608813,NASDAQ
208813719,GOOGL,ALPHABET 'A',0.019084208,-0.022898577,NASDAQ
15124833,NFLX,NETFLIX,0.039814761,-0.034038302,NASDAQ
166090175,BABA,ALIBABA GROUP HLDG.SPN. ADR 1:1,0.02473201,-0.024198009,NYSE
13977,XOM,EXXON MOBIL,0.016985287,-0.017087868,NYSE
15547841,TLT,ISHARES 20+ YR.TRSY.BOND,0.008480533,-0.008915457,NASDAQ
1520593,JPM,JP MORGAN CHASE & CO.,0.033493169,-0.03175813,NYSE
76792991,TSLA,TESLA MOTORS,0.038864171,-0.03992,NASDAQ
269753,GILD,GILEAD SCIENCES,0.02101891,-0.023652174,NASDAQ
196610642,AGN,ALLERGAN DEAD - DELIST.17/03/15,0.022537709,-0.021703825,NYSE
79431711,VRX,VALEANT PHARMS. (NYS) INTL.,0.034,-0.039424284,NYSE
8719,JNJ,JOHNSON & JOHNSON,0.011026764,-0.012652898,NYSE
6459,DIS,WALT DISNEY,0.019890977,-0.018951599,NYSE
5684,CVX,CHEVRON,0.018289205,-0.019141256,NYSE
4651842,PCLN,PRICELINE GROUP,0.029759882,-0.028933768,NASDAQ
4901,VZ,VERIZON COMMUNICATIONS,0.015692343,-0.017964288,NYSE
9408,MCD,MCDONALDS,0.015132088,-0.015037849,NYSE
49462172,V,VISA 'A',0.027901533,-0.025886024,NYSE
11054,PG,PROCTER & GAMBLE,0.013,-0.014575332,NYSE
13824,WMT,WAL MART STORES,0.014362922,-0.014211941,NYSE
7930,HD,HOME DEPOT,0.023,-0.021089368,NYSE
267748,CMCSA,COMCAST 'A',0.023,-0.023785563,NASDAQ
8314,IBM,INTERNATIONAL BUS.MCHS.,0.015741787,-0.015426924,NYSE
4762,BA,BOEING,0.019311642,-0.021239442,NYSE
37655664,CMG,CHIPOTLE MEXN.GRILL,0.03348291,-0.030991649,NYSE
10291,NKE,NIKE 'B',0.020619331,-0.019806979,NYSE
4627828,GS,GOLDMAN SACHS GP.,0.028923466,-0.031811321,NYSE
12200,SLB,SCHLUMBERGER,0.024463138,-0.027262108,NYSE
273544,QCOM,QUALCOMM,0.021215651,-0.022758621,NASDAQ
70101545,MRK,MERCK & COMPANY,0.019,-0.020778718,NYSE
11517520,IBB,ISHARES NASDAQ BIOTECH. ETF,0.016088211,-0.020508792,NASDAQ
